species,type,lat,lon,basin,year,suitability
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1986,0.8333333333333334
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1987,1
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1988,0.25
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1989,0.8
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1990,1
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1991,0.7272727272727273
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1992,0.8
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1993,0.9375
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1994,0.6875
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1995,0.75
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1996,0.5
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1997,0.6875
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1998,0.6875
Blue Crab,presence,29.04917,-90.73917,Terrebonne,1999,0.6875
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2000,0.35294117647058826
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2001,0.9333333333333333
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2002,0.75
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2003,0.625
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2004,0.875
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2005,0.6666666666666666
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2006,0.2857142857142857
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2007,0.6
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2008,0.6
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2009,0.9375
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2010,0.625
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2011,0.75
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2012,0.5
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2013,1
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2014,0.42857142857142855
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2015,0.5454545454545454
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2016,0.9166666666666666
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2017,0.8181818181818182
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2018,0.6666666666666666
Blue Crab,presence,29.04917,-90.73917,Terrebonne,2019,0.75
Blue Crab,presence,29.055,-90.94139,Terrebonne,1986,0.9166666666666666
Blue Crab,presence,29.055,-90.94139,Terrebonne,1987,0.8333333333333334
Blue Crab,presence,29.055,-90.94139,Terrebonne,1988,0.7
Blue Crab,presence,29.055,-90.94139,Terrebonne,1989,1
Blue Crab,presence,29.055,-90.94139,Terrebonne,1990,0.9090909090909091
Blue Crab,presence,29.055,-90.94139,Terrebonne,1991,0.8333333333333334
Blue Crab,presence,29.055,-90.94139,Terrebonne,1992,0.9230769230769231
Blue Crab,presence,29.055,-90.94139,Terrebonne,1993,1
Blue Crab,presence,29.055,-90.94139,Terrebonne,1994,0.8666666666666667
Blue Crab,presence,29.055,-90.94139,Terrebonne,1995,0.8571428571428571
Blue Crab,presence,29.055,-90.94139,Terrebonne,1996,0.7
Blue Crab,presence,29.055,-90.94139,Terrebonne,1997,0.9375
Blue Crab,presence,29.055,-90.94139,Terrebonne,1998,1
Blue Crab,presence,29.055,-90.94139,Terrebonne,1999,0.875
Blue Crab,presence,29.055,-90.94139,Terrebonne,2000,0.6
Blue Crab,presence,29.055,-90.94139,Terrebonne,2001,0.9375
Blue Crab,presence,29.055,-90.94139,Terrebonne,2002,1
Blue Crab,presence,29.055,-90.94139,Terrebonne,2003,0.9333333333333333
Blue Crab,presence,29.055,-90.94139,Terrebonne,2004,0.9375
Blue Crab,presence,29.055,-90.94139,Terrebonne,2005,0.9375
Blue Crab,presence,29.055,-90.94139,Terrebonne,2006,0.75
Blue Crab,presence,29.055,-90.94139,Terrebonne,2007,0.8125
Blue Crab,presence,29.055,-90.94139,Terrebonne,2008,0.8
Blue Crab,presence,29.055,-90.94139,Terrebonne,2009,0.9375
Blue Crab,presence,29.055,-90.94139,Terrebonne,2010,1
Blue Crab,presence,29.055,-90.94139,Terrebonne,2011,1
Blue Crab,presence,29.055,-90.94139,Terrebonne,2012,1
Blue Crab,presence,29.055,-90.94139,Terrebonne,2013,1
Blue Crab,presence,29.055,-90.94139,Terrebonne,2014,1
